Temperature sensor reading failed at 0s
Temperature sensor reading failed at 10s
Temperature sensor reading failed at 22s
Temperature sensor reading failed at 24s
Temperature sensor reading failed at 30s
Temperature sensor reading failed at 34s
Temperature sensor reading failed at 40s
Temperature sensor reading failed at 42s
Temperature sensor reading failed at 30s
Temperature sensor reading failed at 34s
Temperature sensor reading failed at 40s
Temperature sensor reading failed at 42s
Temperature sensor reading failed at 34s
Temperature sensor reading failed at 40s
Temperature sensor reading failed at 42s
